Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.64,,777.5485229,,3325,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,2.66,,794.5784912,,3325,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:5,,N/F,,N/F,,3325,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,2.88,,571.3477783,,359,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-19:2,,N/F,,N/F,,359,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,359,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,359,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,359,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG-19:2,,N/F,,N/F,,359,Linear,0.000, ,N/F,,N/F,,,,,6
MGDG,,3.22,,792.5653076,,1035,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,N/F,,N/F,,1035,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG,,N/F,,N/F,,1035,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-34:1,,3.37,,777.545105,,2885,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,N/F,,N/F,,2885,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-34:1,,N/F,,N/F,,2885,Linear,0.000, ,N/F,,N/F,,,,,2
Gly-GDGT-0,,3.28,,1480.389893,,2591,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,N/F,,N/F,,2591,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-0,,N/F,,N/F,,2591,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.33,,701.517334,,1235,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-30:1,,N/F,,N/F,,1235,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-30:1,,N/F,,N/F,,1235,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-28:0,,3.49,,692.531311,,362014,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.49,,697.4874268,,362014,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.52,,675.506958,,362014,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:5,,3.46,,764.5322876,,3944,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-34:5,,N/F,,N/F,,3944,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-34:5,,N/F,,N/F,,3944,Linear,0.000, ,N/F,,N/F,,,,,3
