Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,1.23,,549.3607788,,312202,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,1.14,,566.3913574,,312202,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,1.21,,571.3428345,,312202,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,1.23,,549.3607788,,312202,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,1.14,,566.3913574,,312202,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,1.21,,571.3428345,,312202,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.42,,732.5632324,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,8.08,,737.5162354,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,20.5,,715.53479,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,3.42,,732.5632324,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,8.08,,737.5162354,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,20.5,,715.53479,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,3.42,,732.5632324,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,8.08,,737.5162354,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,20.5,,715.53479,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,3.42,,732.5632324,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,8.08,,737.5162354,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,20.5,,715.53479,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,3.42,,732.5632324,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,8.08,,737.5162354,,1774086,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-31:1,,N/F,,N/F,,1774086,Linear,0.000, ,N/F,ng,N/F,ng,,,,1
MGDG-34:5,,1.23,,747.5059204,,457047,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,7.36,,764.5306396,,457047,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,5.11,,769.4828491,,457047,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,1.23,,747.5059204,,457047,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,7.36,,764.5306396,,457047,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,5.11,,769.4828491,,457047,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
