Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,1.19,,549.3607178,,120846,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,1.12,,566.3892212,,120846,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,7.66,,571.3464966,,120846,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,1.19,,549.3607178,,120846,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,1.12,,566.3892212,,120846,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,7.66,,571.3464966,,120846,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.34,,715.5368652,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-31:1,,3.41,,732.5592041,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,9.97,,737.5147705,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,1.13,,715.5325317,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,3.41,,732.5592041,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,9.97,,737.5147705,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,1.13,,715.5325317,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,3.41,,732.5592041,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,9.97,,737.5147705,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,1.13,,715.5325317,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,3.41,,732.5592041,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,9.97,,737.5147705,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,1.13,,715.5325317,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,3.41,,732.5592041,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,9.97,,737.5147705,,12062715,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-34:5,,4.03,,747.5056763,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,3.28,,764.5327759,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,3.74,,769.4873047,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,4.03,,747.5056763,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,3.28,,764.5327759,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,3.74,,769.4873047,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-34:5,,4.03,,747.5056763,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-34:5,,3.28,,764.5327759,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-34:5,,3.74,,769.4873047,,59413676,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-41:3,,0.88,,853.6784668,,122807,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-41:3,,0.91,,870.7012939,,122807,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-41:3,,1.19,,875.6556396,,122807,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.7,,558.3925781,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-25:4,,1.56,,575.4203491,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-25:4,,5.45,,580.3709106,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,6.7,,558.3925781,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-25:4,,1.56,,575.4203491,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-25:4,,5.45,,580.3709106,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-25:4,,6.7,,558.3925781,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
PE-DEG-25:4,,1.56,,575.4203491,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
PE-DEG-25:4,,5.45,,580.3709106,,429209,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
PE-DEG-27:4,,1.32,,586.4202271,,786695,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-27:4,,2.68,,603.4484863,,786695,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-27:4,,5.15,,608.4028931,,786695,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-32:1,,3.39,,744.5591431,,4556953,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-32:1,,0.14,,727.53302,,4556953,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
