Quantitation Report - 2,,,,,,,,,,,,,
,,,,,,,,,,,,,
MS Integ Params:,,Known_IPLs_Marine_11_14_2018,,,,Quant Time:,11/16/2018 2:27:23 PM,,,,,,
Quant Method:,,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,Data File:,QEF1634_OG40_T5-250-2-7_SC,,,,,,
Title:,,Assay name,,,,Acq On:,8/1/2018 4:43:32 AM,,,,,,
Last Update:,,11/16/2018 2:22:51 PM,,,,Sample:,,,,,,,
Data Acq Method:,,IPL_BEHamide_FullMS,,,,Comment:,,,,,,,
Operator:,,Thermo,,,,Vial:,RD3,,,,,,
Instrument:,,QEFocus,,,,Multiplr:,1.000,,,,,,
Response Via:,,Known_IPLs_Marine_11_14_2018.calx,,,,Quant Results File:,C:\TraceFinderData\4.0\Projects\IPLs\Known_IPLs_Marine_11_14_2018\Data\QEF1634_OG40_T5-250-2-7_SC.rsx,,,,,, 
,,,,,,,,,,,,,
Internal Standards,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Surrogates,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),Spike Amt,Recovery,Flags,Manual Flag,
,,,,,,,,,,,,,
No data,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Target Compounds,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Compound Name,,RT,Quan Peak,Response,Conc,Units,Dev (min),,,Flags,Manual Flag,
1,ARCHAEOL,,N/F,653.68062,N/F,N/F,ng,N/F,,,,FALSE,
1,,,N/F,670.70717,N/F,,,N/F,,,,FALSE,
1,,,N/F,675.66257,N/F,,,N/F,,,,FALSE,
2,MGDG-36:5,,2.36,777.55112,18521,N/A,,-0.27,,,,FALSE,
2,,,3.10,794.57767,,,,0.47,,,,FALSE,
2,,,N/F,799.53307,N/F,,,N/F,,,,FALSE,
3,MGDG-19:2,,2.69,549.36332,569,N/A,,-0.14,,,,FALSE,
3,,,N/F,566.38987,N/F,,,N/F,,,,FALSE,
3,,,N/F,571.34527,N/F,,,N/F,,,,FALSE,
3,,,3.40,549.36332,,,,0.36,,,,FALSE,
3,,,N/F,566.38987,N/F,,,N/F,,,,FALSE,
3,,,N/F,571.34527,N/F,,,N/F,,,,FALSE,
4,HPH-GDGT-1,,N/F,1703.37117,N/F,N/F,,N/F,,,,FALSE,
4,,,N/F,1720.39772,N/F,,,N/F,,,,FALSE,
4,,,N/F,1725.35312,N/F,,,N/F,,,,FALSE,
5,Gly-PDGT-0,,N/F,1491.39897,N/F,N/F,,N/F,,,,FALSE,
5,,,N/F,1508.42552,N/F,,,N/F,,,,FALSE,
5,,,N/F,1513.38091,N/F,,,N/F,,,,FALSE,
6,MGDG,,3.19,775.53547,24958,N/A,,-0.06,,,,FALSE,
6,,,3.15,792.56202,,,,-0.10,,,,FALSE,
6,,,N/F,797.51742,N/F,,,N/F,,,,FALSE,
7,MGDG-34:1,,N/F,772.59332,N/F,N/A,,N/F,,,,FALSE,
7,,,N/F,755.56677,N/F,,,N/F,,,,FALSE,
7,,,3.19,777.54872,,,,-0.10,,,,FALSE,
8,Gly-GDGT-4,,N/F,1455.30507,N/F,N/F,,N/F,,,,FALSE,
8,,,N/F,1472.33162,N/F,,,N/F,,,,FALSE,
8,,,N/F,1477.28701,N/F,,,N/F,,,,FALSE,
9,MGDG-36:8,,2.86,771.50417,56844,N/A,,-0.49,,,,FALSE,
9,,,3.22,788.53072,,,,-0.13,,,,FALSE,
9,,,N/F,793.48612,N/F,,,N/F,,,,FALSE,
10,Gly-GDGT-0,,3.72,1463.36767,1136,N/A,,0.36,,,,FALSE,
10,,,N/F,1480.39422,N/F,,,N/F,,,,FALSE,
10,,,N/F,1485.34961,N/F,,,N/F,,,,FALSE,
11,MGDG-36:9,,3.33,769.48852,63619,N/A,,-0.05,,,,FALSE,
11,,,3.27,786.51507,,,,-0.11,,,,FALSE,
11,,,3.30,791.47047,,,,-0.08,,,,FALSE,
12,MGDG-30:1,,3.37,718.54637,3072648,N/A,,-0.03,,,,FALSE,
12,,,3.37,723.50177,,,,-0.03,,,,FALSE,
12,,,3.39,701.51982,,,,-0.01,,,,FALSE,
13,MGDG-36:10,,N/F,784.49942,N/F,N/F,,N/F,,,,FALSE,
13,,,N/F,767.47287,N/F,,,N/F,,,,FALSE,
13,,,N/F,789.45482,N/F,,,N/F,,,,FALSE,
14,Gly-GDGT-2,,N/F,1459.33637,N/F,N/F,,N/F,,,,FALSE,
14,,,N/F,1476.36292,N/F,,,N/F,,,,FALSE,
14,,,N/F,1481.31831,N/F,,,N/F,,,,FALSE,
15,Gly-GDGT-1,,N/F,1461.35202,N/F,N/F,,N/F,,,,FALSE,
15,,,N/F,1478.37857,N/F,,,N/F,,,,FALSE,
15,,,N/F,1483.33396,N/F,,,N/F,,,,FALSE,
16,MGDG-28:0,,3.48,692.53072,544004,N/A,,0.01,,,,FALSE,
16,,,3.49,697.48612,,,,0.02,,,,FALSE,
16,,,N/F,675.50417,N/F,,,N/F,,,,FALSE,
17,Gly-OH-GDGT-1,,N/F,1477.34693,N/F,N/F,,N/F,,,,FALSE,
17,,,N/F,1494.37348,N/F,,,N/F,,,,FALSE,
17,,,N/F,1499.32888,N/F,,,N/F,,,,FALSE,
18,MGDG-34:5,,3.59,747.50417,16743,N/A,,0.07,,,,FALSE,
18,,,3.25,764.53072,,,,-0.27,,,,FALSE,
18,,,3.33,769.48612,,,,-0.19,,,,FALSE,
19,MGDG-36:4,,3.20,779.56677,41805,N/A,,-0.32,,,,FALSE,
19,,,3.13,796.59332,,,,-0.39,,,,FALSE,
19,,,3.16,801.54872,,,,-0.36,,,,FALSE,
20,MGDG-32:1,,3.27,749.51742,199357,N/A,,-0.26,,,,FALSE,
20,,,3.52,727.53547,,,,-0.01,,,,FALSE,
20,,,3.27,744.56202,,,,-0.26,,,,FALSE,
21,MGDG-34:7,,3.26,743.47287,3004,N/A,,-0.27,,,,FALSE,
21,,,3.35,760.49942,,,,-0.18,,,,FALSE,
21,,,N/F,765.45482,N/F,,,N/F,,,,FALSE,
22,MGDG-36:2,,3.58,800.62462,69133,N/A,,0.04,,,,FALSE,
22,,,3.58,805.58002,,,,0.04,,,,FALSE,
22,,,N/F,783.59808,N/F,,,N/F,,,,FALSE,
23,MGDG-37:3,,N/F,814.64027,N/F,N/A,,N/F,,,,FALSE,
23,,,N/F,797.61373,N/F,,,N/F,,,,FALSE,
23,,,3.16,819.59567,,,,-0.39,,,,FALSE,
24,MGDG-32:2,,N/F,742.54637,N/F,N/A,,N/F,,,,FALSE,
24,,,3.86,725.51982,,,,0.26,,,,FALSE,
24,,,3.95,747.50177,,,,0.35,,,,FALSE,
25,HPH-GDGT-5,,N/F,1695.30857,N/F,N/F,,N/F,,,,FALSE,
