Quantitation Report,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Lab Name:,OGL,,,,,,,,,,,,,,,,
Instrument:,QEFocus,,,,,,,,Method:,Known_IPLs_Marine_11_14_2018_Known_IPLs_Marine_11_14_2018,,,,,,,
User:,Thermo,,,,,,,,,Known_IPLs_Marine_11_14_2018,,,,,,,
Batch:,Known_IPLs_Marine_11_14_2018,,,,,,,,Cali File:,Known_IPLs_Marine_11_14_2018.calx,,,,,,,
,,,,,,,,,,,,,,,,,
Vial Pos,,Sample ID,,File Name,,Level,,Sample Name,,File Date,,Comment,,,,,
RB6,,1,,QEF1620_OG27_T3-55-2-7_SC,,N/A,,,,7/31/2018 8:47:00 PM,,,,, ,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Internal Standards,,RT,,Quan Peak,,Response,,,,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Surrogates,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
,,,,,,,,,,,,,,,,,
No data,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Target Compounds,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-36:5,,2.62,,777.5473022,,637,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:5,,N/F,,N/F,,637,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-36:5,,N/F,,N/F,,637,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,3.01,,571.343811,,366,Linear,0.000, ,N/A,,N/A,,,,,6
MGDG-19:2,,N/F,,N/F,,366,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-19:2,,N/F,,N/F,,366,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-19:2,,N/F,,N/F,,366,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-19:2,,N/F,,N/F,,366,Linear,0.000, ,N/F,,N/F,,,,,4
MGDG-19:2,,N/F,,N/F,,366,Linear,0.000, ,N/F,,N/F,,,,,5
MGDG,,3.27,,775.5388794,,80479,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG,,3.19,,792.564209,,80479,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG,,3.18,,797.5183105,,80479,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-34:1,,3.22,,772.5952759,,314524,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:1,,N/F,,N/F,,314524,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:1,,N/F,,N/F,,314524,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-0,,3.32,,1480.39563,,10264,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-0,,N/F,,N/F,,10264,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-0,,N/F,,N/F,,10264,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:9,,3.34,,769.4862061,,3445,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:9,,3.37,,786.5148315,,3445,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:9,,N/F,,N/F,,3445,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-30:1,,3.39,,718.5461426,,46909231,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-30:1,,3.38,,723.5009766,,46909231,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-30:1,,3.38,,701.5195313,,46909231,Linear,0.000, ,N/A,,N/A,,,,,3
MGDG-36:10,,3.35,,784.5030518,,21066,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-36:10,,3.34,,767.4691772,,21066,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:10,,N/F,,N/F,,21066,Linear,0.000, ,N/F,,N/F,,,,,3
Gly-GDGT-1,,3.38,,1478.372925,,793,Linear,0.000, ,N/A,,N/A,,,,,2
Gly-GDGT-1,,N/F,,N/F,,793,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-GDGT-1,,N/F,,N/F,,793,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-28:0,,3.5,,692.5315552,,3177370,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-28:0,,3.5,,697.4876709,,3177370,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-28:0,,3.54,,675.505127,,3177370,Linear,0.000, ,N/A,,N/A,,,,,3
Gly-OH-GDGT-1,,3.56,,1499.329834,,761,Linear,0.000, ,N/A,,N/A,,,,,3
Gly-OH-GDGT-1,,N/F,,N/F,,761,Linear,0.000, ,N/F,,N/F,,,,,1
Gly-OH-GDGT-1,,N/F,,N/F,,761,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,3.58,,747.5026245,,5144,Linear,0.000, ,N/A,,N/A,,,,,1
MGDG-34:5,,N/F,,N/F,,5144,Linear,0.000, ,N/F,,N/F,,,,,2
MGDG-34:5,,N/F,,N/F,,5144,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-36:4,,3.52,,796.5960693,,10421,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-36:4,,N/F,,N/F,,10421,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-36:4,,N/F,,N/F,,10421,Linear,0.000, ,N/F,,N/F,,,,,3
MGDG-32:1,,3.58,,727.5327759,,39137,Linear,0.000, ,N/A,,N/A,,,,,2
MGDG-32:1,,N/F,,N/F,,39137,Linear,0.000, ,N/F,,N/F,,,,,1
MGDG-32:1,,N/F,,N/F,,39137,Linear,0.000, ,N/F,,N/F,,,,,3
