Compound,,RT,,Quan Peak,,Response,Curve Type,"Average RF/
Response Ratio",,"Injected
Conc",Units,"Calculated
Conc",Units,Flags,,Manual Flag,Peak Index
MGDG-19:2,,4.39,,549.3641968,,642856,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-19:2,,4.39,,566.388855,,642856,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-19:2,,4.35,,571.3448486,,642856,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-19:2,,4.39,,549.3641968,,642856,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-19:2,,4.39,,566.388855,,642856,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-19:2,,4.35,,571.3448486,,642856,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,3.31,,732.5585938,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-31:1,,9.98,,737.513916,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-31:1,,20.53,,715.5344238,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-31:1,,3.31,,732.5585938,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-31:1,,9.98,,737.513916,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-31:1,,20.53,,715.5344238,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-31:1,,3.31,,732.5585938,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-31:1,,9.98,,737.513916,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-31:1,,20.53,,715.5344238,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,10
MGDG-31:1,,3.31,,732.5585938,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,11
MGDG-31:1,,9.98,,737.513916,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,12
MGDG-31:1,,20.53,,715.5344238,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,13
MGDG-31:1,,3.31,,732.5585938,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,14
MGDG-31:1,,9.98,,737.513916,,22160178,Linear,0.000, ,N/A,ng,N/A,ng,,,,15
MGDG-31:1,,N/F,,N/F,,22160178,Linear,0.000, ,N/F,ng,N/F,ng,,,,1
MGDG-34:5,,4.01,,747.5072021,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-34:5,,3.27,,764.5306396,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-34:5,,10.47,,769.482605,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-34:5,,4.01,,747.5072021,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-34:5,,3.27,,764.5306396,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-34:5,,10.47,,769.482605,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-34:5,,4.01,,747.5072021,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-34:5,,3.27,,764.5306396,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-34:5,,10.47,,769.482605,,28923202,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-41:3,,22.85,,853.6723633,,716583,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-41:3,,0.93,,870.7005005,,716583,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-41:3,,1.14,,875.6542358,,716583,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,7.81,,558.3933716,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-25:4,,7.46,,575.4174805,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-25:4,,5.42,,580.3709106,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-25:4,,7.81,,558.3933716,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-25:4,,7.46,,575.4174805,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-25:4,,5.42,,580.3709106,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-25:4,,7.81,,558.3933716,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
PE-DEG-25:4,,7.46,,575.4174805,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
PE-DEG-25:4,,5.42,,580.3709106,,222060,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
PE-DEG-27:4,,3.29,,586.4241943,,592164,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-27:4,,6.64,,603.4498291,,592164,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-27:4,,5.48,,608.4023438,,592164,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-32:1,,3.32,,744.5598145,,15528905,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-32:1,,10.05,,727.5320435,,15528905,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-32:1,,4,,749.5147095,,15528905,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-37:3,,0.91,,814.6370239,,397297,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-37:3,,8.04,,819.5946045,,397297,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-37:3,,9.92,,797.6100464,,397297,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-27:2,,1.1,,676.5015259,,383344,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-27:2,,1.07,,681.4514771,,383344,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-27:2,,1.12,,659.4749756,,383344,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-36:0,,1.09,,809.6152954,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-36:0,,1.09,,809.6152954,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-36:0,,1.09,,809.6152954,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-36:0,,7.79,,787.6264038,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-36:0,,4.6,,804.6535645,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
MGDG-36:0,,7.79,,787.6264038,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-36:0,,4.6,,804.6535645,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,7
MGDG-36:0,,7.79,,787.6264038,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,8
MGDG-36:0,,4.6,,804.6535645,,582293,Linear,0.000, ,N/A,ng,N/A,ng,,,,9
MGDG-36:4,,1.19,,796.5930176,,531529,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-36:4,,1.88,,779.5700684,,531529,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-36:4,,10.43,,801.5462646,,531529,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-30:2,,3.41,,716.5283203,,201958172,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-30:2,,3.42,,699.5029907,,201958172,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-30:2,,3.43,,721.4840698,,201958172,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-35:3,,1.22,,700.5606689,,353440,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-35:3,,11.65,,717.5904541,,353440,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-35:3,,16.49,,722.5467529,,353440,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-30:0,,20.73,,658.5114136,,1188620,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-30:0,,20.73,,658.5114136,,1188620,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-30:0,,11.06,,636.5352173,,1188620,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-30:0,,11.06,,636.5352173,,1188620,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-30:0,,0.97,,653.5577393,,1188620,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-30:0,,0.97,,653.5577393,,1188620,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
PE-DEG-24:3,,6.77,,563.4177246,,210012,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
PE-DEG-24:3,,6.77,,563.4177246,,210012,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
PE-DEG-24:3,,1.02,,546.3902588,,210012,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
PE-DEG-24:3,,1.59,,568.3710938,,210012,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
PE-DEG-24:3,,1.02,,546.3902588,,210012,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
PE-DEG-24:3,,1.59,,568.3710938,,210012,Linear,0.000, ,N/A,ng,N/A,ng,,,,6
MGDG-30:1,,3.39,,718.5438232,,7246324712,Linear,0.000, ,N/A,ng,N/A,ng,,,,1
MGDG-30:1,,3.39,,718.5438232,,7246324712,Linear,0.000, ,N/A,ng,N/A,ng,,,,2
MGDG-30:1,,3.39,,718.5438232,,7246324712,Linear,0.000, ,N/A,ng,N/A,ng,,,,3
MGDG-30:1,,3.39,,718.5438232,,7246324712,Linear,0.000, ,N/A,ng,N/A,ng,,,,4
MGDG-30:1,,3.39,,718.5438232,,7246324712,Linear,0.000, ,N/A,ng,N/A,ng,,,,5
