Cruise	Latitude	Longitude	Depth	PO4	NO3_NO2	NO2	NH4
BIGRAPA	-20.08333	-70.79998	5	0.94	0.6		0.06
BIGRAPA	-20.08333	-70.79998	12	0.91	1.2	0.09	0.06
BIGRAPA	-20.08333	-70.79998	24	1.69	10.1	0.56	1.96
BIGRAPA	-20.08333	-70.79998	48	2.69	18.9	0.53	0.66
BIGRAPA	-20.08333	-70.79998	54	2.75	17.5	0.13	
BIGRAPA	-20.08333	-70.79998	60	2.77	39.6	0.23	
BIGRAPA	-20.08333	-70.79998	66	2.76	15.7	0.86	0.03
BIGRAPA	-20.08333	-70.79998	73	2.77	15.6	1.15	0.03
BIGRAPA	-20.08333	-70.79998	83	2.77	15.3	2.33	0.03
BIGRAPA	-20.08333	-70.79998	100	2.74	17	2.89	0.03
BIGRAPA	-20.08333	-70.79998	120	2.86	12	7.28	0.03
BIGRAPA	-20.08333	-70.79998	180	2.76	21.8	5.94	0.03
BIGRAPA	-20.08333	-70.79998	240	2.79	27.7	5.47	
BIGRAPA	-20.08333	-70.79998	240	2.78	27.6	5.46	
BIGRAPA	-20.08333	-70.79998	300	2.81	30.6	1.92	
BIGRAPA	-20.08333	-70.79998	350	2.88	37.4		
BIGRAPA	-20.08333	-70.79998	400	2.93	41.2		
BIGRAPA	-20.08333	-70.79998	450	2.94	39.7		
BIGRAPA	-20.08333	-70.79998	500	2.94	41.4		0.02
BIGRAPA	-20.08333	-70.79998	750	3.04	43.8		0.02
BIGRAPA	-20.08333	-70.79998	1000	3.04	43.3		0.02
BIGRAPA	-20.08333	-70.79998	1250	2.95	41.4		0.02
BIGRAPA	-20.08333	-70.79998	1500	2.86	40.2		0.02
BIGRAPA	-20.08333	-70.79998	1750	2.81	39.2		0.02
BIGRAPA	-20.08333	-70.79998	1992	2.74	38.3		0.02
