BIGRAPA	Depth	Temp	Salinity ox 	Volts	chl
2	1.5	19.551	34.813	271.3	100.66	0.5929
3	2.5	19.56	34.813	271.5	93.63	0.6557
4	3.5	19.551	34.812	272.4	73.32	0.6058
5	4.6	19.545	34.813	271.7	62.69	0.5857
6	5.6	19.549	34.812	272	52.98	0.6297
7	6.6	19.518	34.81	274.4	45.99	0.661
8	7.6	19.384	34.795	276.3	38.24	0.6122
9	8.6	18.688	34.749	287.8	34.89	0.5006
10	9.6	18.135	34.723	298.7	29.84	0.4929
11	10.6	17.56	34.71	280.7	27.09	0.525
12	11.6	17.07	34.73	271.2	23.32	0.6354
13	12.6	16.875	34.763	265.9	20.81	0.6966
14	13.6	16.446	34.784	252.4	18.39	0.875
15	14.6	16.173	34.797	240.6	16.92	0.8172
16	15.7	16.064	34.791	240	14.95	0.8453
17	16.7	15.995	34.784	237.4	13.23	1.4714
18	17.7	15.947	34.779	234.2	11.63	1.0254
19	18.7	15.835	34.762	220.4	10.33	1.2244
20	19.7	15.721	34.744	209.3	9.06	1.0697
21	20.7	15.594	34.743	208.6	7.94	1.1466
22	21.7	15.542	34.749	212.9	7.05	0.9134
23	22.7	15.513	34.757	221.6	6.27	0.8706
24	23.7	15.474	34.755	212.9	5.59	0.885
25	24.7	15.247	34.726	199	5.03	1.0815
26	25.8	15.097	34.708	191.1	4.59	1.0171
27	26.8	14.982	34.703	192	4.14	1.1528
28	27.8	14.925	34.735	199.3	3.71	1.1694
29	28.8	14.871	34.734	196.8	3.34	1.1694
30	29.8	14.787	34.726	190.5	3.01	1.1079
31	30.8	14.706	34.721	184.5	2.74	1.2832
32	31.8	14.631	34.712	176.7	2.5	1.9674
33	32.8	14.491	34.697	168	2.28	1.4193
34	33.8	14.207	34.648	154.9	2.07	1.3445
35	34.8	13.691	34.57	155.9	1.86	1.3858
36	35.8	13.434	34.525	159.5	1.64	1.1725
37	36.9	13.277	34.501	144.4	1.47	1.1235
38	37.9	13.214	34.527	114.8	1.35	1.0217
39	38.9	13.153	34.539	106.2	1.23	0.933
40	39.9	13.109	34.541	98.7	1.11	0.8971
41	40.9	13.052	34.551	88.8	1	0.8204
42	41.9	13.023	34.551	83.3	0.91	0.7793
43	42.9	12.97	34.582	67.5	0.83	0.6975
44	43.9	12.944	34.591	65	0.76	0.6263
45	44.9	12.934	34.596	60.7	0.69	0.69
46	45.9	12.939	34.606	49.5	0.63	0.5393
47	47.0	12.961	34.629	38	0.58	0.3953
48	48.0	13.007	34.662	31	0.53	0.3765
49	49.0	13.081	34.698	24.2	0.48	0.7193
50	50.0	13.063	34.697	23.7	0.45	0.464
51	51.0	12.994	34.696	21.4	0.41	0.3592
52	52.0	12.997	34.718	18.5	0.37	0.5366
53	53.0	12.999	34.727	17.8	0.33	0.7306
54	54.0	13.001	34.731	16.2	0.31	0.7855
55	55.0	12.936	34.727	19.5	0.28	0.2859
56	56.0	12.861	34.73	19.8	0.26	0.3036
57	57.0	12.855	34.733	18.9	0.23	0.3016
58	58.1	12.844	34.731	19.2	0.22	0.3143
59	59.1	12.845	34.735	19.1	0.2	0.335
60	60.1	12.854	34.74	17.4	0.18	0.2634
61	61.1	12.863	34.75	14.9	0.17	0.2843
62	62.1	12.863	34.76	14.9	0.15	0.2053
63	63.1	12.865	34.767	14.8	0.14	0.1283
64	64.1	12.836	34.767	14.8	0.14	0.1374
65	65.1	12.799	34.768	14.2	0.13	0.1406
66	66.1	12.774	34.779	13.1	0.12	0.1152
67	67.1	12.778	34.781	12.7	0.11	0.1195
68	68.2	12.795	34.794	9.9	0.1	0.0873
69	69.2	12.826	34.814	8.1	0.09	0.1032
70	70.2	12.835	34.818	8.1	0.09	0.0955
71	71.2	12.798	34.812	8.4	0.08	0.1079
72	72.2	12.732	34.809	8.2	0.08	0.1053
73	73.2	12.723	34.81	8.2	0.07	0.1054
74	74.2	12.702	34.813	7.9	0.06	0.1042
75	75.2	12.678	34.82	7.8	0.06	0.0911
76	76.2	12.67	34.823	7.7	0.06	0.0893
77	77.2	12.667	34.823	7.6	0.05	0.0855
78	78.3	12.651	34.825	7.5	0.05	0.092
79	79.3	12.641	34.827	7.3	0.04	0.0836
80	80.3	12.638	34.828	7.3	0.04	0.0835
81	81.3	12.631	34.829	7.2	0.04	0.0818
82	82.3	12.617	34.832	7.1	0.03	0.0801
83	83.3	12.612	34.834	7.1	0.03	0.0807
84	84.3	12.596	34.833	6.9	0.03	0.082
85	85.3	12.58	34.832	6.8	0.03	0.0817
86	86.3	12.563	34.833	6.8	0.02	0.0795
87	87.3	12.538	34.835	6.8	0.02	0.0794
88	88.3	12.514	34.834	6.6	0.02	0.0762
89	89.4	12.48	34.832	6.7	0.02	0.0766
90	90.4	12.463	34.831	6.6	0.02	0.0769
91	91.4	12.434	34.826	6.6	0.01	0.0773
92	92.4	12.378	34.818	7.1	0.01	0.0743
93	93.4	12.319	34.809	7.7	0.01	0.0737
94	94.4	12.282	34.802	8.1	0.01	0.0741
95	95.4	12.265	34.8	8.1	0.01	0.0787
96	96.4	12.251	34.797	8.1	0.01	0.1256
97	97.4	12.237	34.795	8.1	0.01	0.0733
98	98.4	12.235	34.794	8	0.01	0.0731
99	99.5	12.23	34.793	7.9	0.01	0.0745
100	100.5	12.22	34.791	8.1	0	0.0746
101	101.5	12.204	34.788	8.5	0	0.075
102	102.5	12.185	34.785	8.2	0	0.0733
103	103.5	12.182	34.786	7.4	0	0.0738
104	104.5	12.235	34.807	6.3	0	0.0727
105	105.5	12.317	34.834	5.7	0	0.0757
106	106.5	12.318	34.833	5.7	0	0.0737
107	107.5	12.293	34.835	5.9	0	0.0755
108	108.5	12.286	34.835	6	0	0.0742
109	109.5	12.266	34.832	5.9	0	0.0765
110	110.6	12.265	34.836	5.9	0	0.0759
111	111.6	12.272	34.839	5.9	0	0.0733
112	112.6	12.269	34.839	5.8	0	0.074
113	113.6	12.268	34.839	5.9	0	0.0733
114	114.6	12.255	34.837	6	0	0.0763
115	115.6	12.234	34.837	5.8	0	0.0738
116	116.6	12.222	34.837	5.8	0	0.0743
117	117.6	12.204	34.836	5.8	0	0.074
118	118.6	12.173	34.834	5.8	0	0.0742
119	119.6	12.159	34.834	5.7	0	0.0764
120	120.7	12.153	34.833	5.6	0	0.0737
121	121.7	12.148	34.833	5.6	0	0.0744
122	122.7	12.142	34.832	5.7	0	0.076
123	123.7	12.126	34.832	5.7	0	0.0977
124	124.7	12.111	34.832	5.7	0	0.0812
125	125.7	12.1	34.832	5.6	0	0.0733
126	126.7	12.096	34.832	5.5	0	0.0739
127	127.7	12.093	34.832	5.5	0	0.0745
128	128.7	12.091	34.832	5.5	0	0.0754
129	129.7	12.086	34.831	5.5	0	0.0748
130	130.8	12.076	34.83	5.5	0	0.0733
131	131.8	12.066	34.83	5.5	0	0.0744
132	132.8	12.056	34.829	5.4	0	0.0739
133	133.8	12.052	34.829	5.3	0	0.0757
134	134.8	12.046	34.828	5.3	0	0.0733
135	135.8	12.031	34.827	5.4	0	0.0738
136	136.8	12.017	34.827	5.4	0	0.0753
137	137.8	12.005	34.826	5.4	0	0.0754
138	138.8	11.995	34.825	5.4	0	0.074
139	139.8	11.98	34.824	5.4	0	0.0753
140	140.8	11.964	34.824	5.4	0	0.0733
141	141.9	11.95	34.823	5.3	0	0.0756
142	142.9	11.939	34.822	5.2	0	0.0736
143	143.9	11.926	34.821	5.2	0	0.0764
144	144.9	11.905	34.82	5.2	0	0.0759
145	145.9	11.886	34.818	5.2	0	0.0733
146	146.9	11.863	34.817	5.2	0	0.0788
147	147.9	11.844	34.817	5.2	0	0.0739
148	148.9	11.831	34.815	5.2	0	0.0746
149	149.9	11.821	34.816	5.2	0	0.0765
150	150.9	11.817	34.816	5.1	0	0.0744
151	152.0	11.815	34.815	5.1	0	0.0737
152	153.0	11.798	34.815	5.1	0	0.0733
153	154.0	11.776	34.815	5.1	0	0.0733
154	155.0	11.762	34.815	5.1	0	0.0772
155	156.0	11.759	34.814	5.1	0	0.0831
156	157.0	11.753	34.814	5.1	0	0.0733
157	158.0	11.742	34.813	5	0	0.0738
158	159.0	11.731	34.813	4.9	0	0.0743
159	160.0	11.721	34.812	5	0	0.0745
160	161.0	11.708	34.812	4.9	0	0.0733
161	162.0	11.706	34.811	4.8	0	0.0733
162	163.1	11.703	34.811	4.9	0	0.0781
163	164.1	11.699	34.811	5	0	0.0733
164	165.1	11.696	34.81	5	0	0.0733
165	166.1	11.694	34.81	4.9	0	0.0737
166	167.1	11.693	34.81	5	0	0.0733
167	168.1	11.686	34.81	5	0	0.0736
168	169.1	11.68	34.809	4.8	0	0.0737
169	170.1	11.675	34.809	4.7	0	0.0762
170	171.1	11.671	34.809	4.8	0	0.0733
171	172.1	11.668	34.809	4.8	0	0.0748
172	173.2	11.666	34.809	4.8	0	0.0733
173	174.2	11.665	34.808	4.8	0	0.0733
174	175.2	11.664	34.808	4.8	0	0.0733
175	176.2	11.662	34.808	4.8	0	0.0733
176	177.2	11.66	34.808	4.8	0	0.0733
177	178.2	11.657	34.807	4.8	0	0.0736
178	179.2	11.654	34.807	4.8	0	0.0733
179	180.2	11.65	34.807	4.8	0	0.0741
180	181.2	11.642	34.806	4.8	0	0.0733
181	182.2	11.641	34.806	4.8	0	0.0739
182	183.2	11.637	34.806	4.7	0	0.0746
183	184.3	11.638	34.806	4.8	0	0.0745
184	185.3	11.637	34.806	4.7	0	0.0758
185	186.3	11.634	34.806	4.7	0	0.075
186	187.3	11.629	34.805	4.6	0	0.0733
187	188.3	11.622	34.805	4.5	0	0.0738
188	189.3	11.617	34.804	4.6	0	0.0738
189	190.3	11.604	34.803	4.7	0	0.0757
190	191.3	11.597	34.802	4.7	0	0.0733
191	192.3	11.593	34.802	4.6	0	0.0791
192	193.3	11.59	34.803	4.6	0	0.0737
193	194.4	11.585	34.802	4.7	0	0.0741
194	195.4	11.573	34.8	4.6	0	0.0764
195	196.4	11.565	34.8	4.6	0	0.0755
196	197.4	11.558	34.802	4.4	0	0.0733
197	198.4	11.557	34.802	4.5	0	0.0745
198	199.4	11.55	34.802	4.5	0	0.0769
199	200.4	11.543	34.802	4.4	0	0.1228
200	201.4	11.513	34.799	4.4	0	0.0748
201	202.4	11.498	34.8	4.5	0	0.0745
202	203.4	11.493	34.8	4.5	0	0.0749
203	204.5	11.484	34.799	4.5	0	0.0741
204	205.5	11.464	34.799	4.5	0	0.0794
205	206.5	11.45	34.798	4.5	0	0.0786
206	207.5	11.424	34.796	4.5	0	0.08
207	208.5	11.413	34.797	4.4	0	0.0794
208	209.5	11.397	34.796	4.4	0	0.0791
209	210.5	11.389	34.795	4.4	0	0.0775
210	211.5	11.386	34.795	4.5	0	0.0779
211	212.5	11.383	34.795	4.4	0	0.0751
212	213.5	11.375	34.794	4.4	0	0.0758
213	214.5	11.361	34.793	4.3	0	0.0757
214	215.6	11.344	34.792	4.3	0	0.0746
215	216.6	11.327	34.792	4.3	0	0.0745
216	217.6	11.319	34.791	4.3	0	0.0766
217	218.6	11.301	34.789	4.3	0	0.0855
218	219.6	11.283	34.788	4.4	0	0.079
219	220.6	11.269	34.787	4.4	0	0.0738
