--------------------------------------------------------------------------------------------------
 Station: LOWPHOX2_T03_001
 Position: 070 24.97 W, 20 06.02 S
 Time: Feb 05 2018, 01:15
--------------------------------------------------------------------------------------------------
 Bottle    DepSM     T090C     T190C     Sal00     Sal11    Ox0ML/L   Ox1ML/L  FlECO-AFL   Par
    1      998.8    4.5437    4.5442   34.5097   34.5125    1.2480    1.2629    0.0329     0.0000
    2      999.4    4.5540    4.5530   34.5091   34.5122    1.2459    1.2605    0.0329     0.0000
    3      999.3    4.5552    4.5541   34.5090   34.5122    1.2464    1.2579    0.0323     0.0000
    4      750.7    5.8419    5.8413   34.4815   34.4844    1.0491    1.0607    0.0329     0.0000
    5      751.5    5.8434    5.8429   34.4817   34.4846    1.0495    1.0605    0.0323     0.0000
    6      749.6    5.8453    5.8447   34.4816   34.4844    1.0479    1.0610    0.0317     0.0000
    7      500.5    8.4486    8.4415   34.6000   34.6023    0.1475    0.1537    0.0335     0.0000
    8      500.0    8.4876    8.4855   34.6036   34.6062    0.1347    0.1378    0.0429     0.0000
    9      499.2    8.5052    8.5081   34.6050   34.6079    0.1221    0.1257    0.0329     0.0000
   10      248.9   11.3297   11.3316   34.7901   34.7934    0.0072    0.0109    0.0379     0.0000
   11      249.4   11.3344   11.3342   34.7910   34.7938    0.0072    0.0109    0.0646     0.0000
   12      249.6   11.3373   11.3372   34.7912   34.7941    0.0070    0.0106    0.0410     0.0000
   13       98.5   12.8470   12.8523   34.8704   34.8733    0.0060    0.0094    0.0640     0.0000
   14       99.4   12.8516   12.8513   34.8711   34.8738    0.0067    0.0094    0.0634     0.0000
   15       50.3   13.4932   13.4940   34.8187   34.8222    0.0067    0.0097    0.2833     0.0000
   16       49.8   13.4944   13.4948   34.8191   34.8215    0.0066    0.0094    0.2976     0.0000
   17       23.9   14.7324   14.7844   34.7926   34.7968    0.7986    0.8628    2.6599     0.0000
   18       25.6   14.3626   14.3958   34.7857   34.7862    0.6478    0.6446    1.0583     0.0000
   19       11.2   18.5522   18.5219   34.8431   34.8631    5.5698    5.5524    5.2763     0.0000
   20        9.8   18.9174   18.8986   34.8171   34.8186    5.5510    5.5712    6.1628     0.0000
   21        2.1   20.8547   20.8367   34.8215   34.8243    6.4265    6.4368    3.3987     0.6420
   22        2.3   21.0076   21.0122   34.8204   34.8227    6.3547    6.4051    3.4554     0.5883
--------------------------------------------------------------------------------------------------
